date,cal,step,dist,stair,stop,light_act,heavy_act,hard_act,burn_cal
2022. 10. 1.,"2,726","9,649",6.93,0,626,206,20,42,"1,255"
2022. 10. 2.,"3,498","14,540",10.45,0,715,211,73,103,"2,122"
2022. 10. 3.,"3,216","14,424",11.53,0,754,190,34,93,"1,755"
2022. 10. 4.,"3,300","15,899",11.42,0,731,270,39,72,"1,899"
2022. 10. 5.,"2,616","8,526",6.13,0,694,235,19,12,"1,132"
2022. 10. 6.,"2,412","6,228",4.47,0,857,197,6,13,866
2022. 10. 7.,"2,909","11,782",8.23,0,667,270,9,28,"1,479"
2022. 10. 8.,"2,733","9,127",6.56,0,"1,090",184,27,37,"1,239"
2022. 10. 9.,"2,412","5,615",4.1,0,825,151,12,13,765
2022. 10. 10.,"2,632","7,339",5.23,0,806,204,20,25,"1,095"
2022. 10. 11.,"3,460","15,635",11.22,0,553,379,62,31,"2,199"
2022. 10. 12.,"3,231","15,940",11.56,0,783,208,32,85,"1,765"
2022. 10. 13.,"3,088","11,684",8.4,0,838,309,32,29,"1,671"
2022. 10. 14.,"2,264","5,127",3.68,0,864,132,11,9,665
2022. 10. 15.,"2,827","11,147",8.22,0,656,161,30,50,"1,311"
2022. 10. 16.,"2,530","9,118",6.55,0,862,155,19,32,"1,000"
2022. 10. 17.,"2,955","12,176",8.9,0,723,239,16,47,"1,532"
2022. 10. 18.,"2,784","9,130",6.56,0,769,240,23,23,"1,273"
2022. 10. 19.,"2,284","4,154",2.98,0,845,147,15,3,656
2022. 10. 20.,"2,543","7,409",5.44,0,892,158,13,31,957
2022. 10. 21.,"2,600","8,263",5.89,0,817,208,15,22,"1,066"
2022. 10. 22.,"3,402","16,107",11.08,0,540,206,52,91,"2,011"
2022. 10. 23.,"3,114","13,614",9.49,0,679,210,32,63,"1,631"
2022. 10. 24.,"2,526","6,341",4.56,0,800,216,14,6,975
2022. 10. 25.,"2,762","9,267",6.64,0,762,191,33,43,"1,260"
2022. 10. 26.,"2,884","11,255",8.09,0,730,224,29,40,"1,420"
2022. 10. 27.,"2,561","8,327",5.98,0,883,133,10,40,948
2022. 10. 28.,"3,381","17,703",12.76,0,659,206,62,96,"1,984"
2022. 10. 29.,"2,086","2,987",2.15,0,693,107,0,0,466
2022. 10. 30.,"2,506","7,526",5.4,0,813,135,28,28,935
2022. 10. 31.,"2,214","4,641",3.34,0,811,140,6,15,660
